TmdbId,Title,Tagline,Overview,ReleaseDate,Runtime,Budget,Revenue,Language,Genres,Keywords,Rating,Votes
19995,Avatar,Enter the World of Pandora.,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",12/10/2009,162,237000000,2787965087,en,Action;Adventure;Fantasy;Science Fiction,culture clash;future;space war;space colony;society;space travel;futuristic;romance;space;alien;tribe;alien planet;cgi;marine;soldier;battle;love affair;anti war;power relations;mind and soul;3d,7.2,11800
285,Pirates of the Caribbean: At World's End,"At the end of the world, the adventure begins.","Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",5/19/2007,169,300000000,961000000,en,Adventure;Fantasy;Action,ocean;drug abuse;exotic island;east india trading company;love of one's life;traitor;shipwreck;strong woman;ship;alliance;calypso;afterlife;fighter;pirate;swashbuckler;aftercreditsstinger,6.9,4500
206647,Spectre,A Plan No One Escapes,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",10/26/2015,148,245000000,880674609,en,Action;Adventure;Crime,spy;based on novel;secret agent;sequel;mi6;british secret service;united kingdom,6.3,4466
49026,The Dark Knight Rises,The Legend Ends,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",7/16/2012,165,250000000,1084939099,en,Action;Crime;Drama;Thriller,dc comics;crime fighter;terrorist;secret identity;burglar;hostage drama;time bomb;gotham city;vigilante;cover-up;superhero;villainess;tragic hero;terrorism;destruction;catwoman;cat burglar;imax;flood;criminal underworld;batman,7.6,9106
49529,John Carter,"Lost in our world, found in another.","John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",3/7/2012,132,260000000,284139100,en,Action;Adventure;Science Fiction,based on novel;mars;medallion;space travel;princess;alien;steampunk;martian;escape;edgar rice burroughs;alien race;superhuman strength;mars civilization;sword and planet;19th century;3d,6.1,2124
559,Spider-Man 3,The battle within.,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",5/1/2007,139,258000000,890871626,en,Fantasy;Action;Adventure,dual identity;amnesia;sandstorm;love of one's life;forgiveness;spider;wretch;death of a friend;egomania;sand;narcism;hostility;marvel comic;sequel;superhero;revenge,5.9,3576
38757,Tangled,They're taking adventure to new lengths.,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",11/24/2010,100,260000000,591794936,en,Animation;Family,hostage;magic;horse;fairy tale;musical;princess;animation;tower;blonde woman;selfishness;healing power;based on fairy tale;duringcreditsstinger;healing gift;animal sidekick,7.4,3330
99861,Avengers: Age of Ultron,A New Age Has Come.,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",4/22/2015,141,280000000,1405403694,en,Action;Adventure;Science Fiction,marvel comic;sequel;superhero;based on comic book;vision;superhero team;duringcreditsstinger;marvel cinematic universe;3d,7.3,6767
767,Harry Potter and the Half-Blood Prince,Dark Secrets Revealed,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",7/7/2009,153,250000000,933959197,en,Adventure;Fantasy;Family,witch;magic;broom;school of witchcraft;wizardry;apparition;teenage crush;werewolf,7.4,5293
209112,Batman v Superman: Dawn of Justice,Justice or revenge,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",3/23/2016,151,250000000,873260194,en,Action;Adventure;Fantasy,dc comics;vigilante;superhero;based on comic book;revenge;super powers;clark kent;bruce wayne;dc extended universe,5.7,7004
1452,Superman Returns,,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",6/28/2006,154,270000000,391081192,en,Adventure;Fantasy;Action;Science Fiction,saving the world;dc comics;invulnerability;sequel;superhero;based on comic book;kryptonite;super powers;superhuman strength;lex luthor,5.4,1400
10764,Quantum of Solace,"For love, for hate, for justice, for revenge.","Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",10/30/2008,106,200000000,586090727,en,Adventure;Action;Thriller;Crime,killing;undercover;secret agent;british secret service,6.1,2965
58,Pirates of the Caribbean: Dead Man's Chest,Jack is back!,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",6/20/2006,151,200000000,1065659812,en,Adventure;Fantasy;Action,witch;fortune teller;bondage;exotic island;monster;captain;card game;east india trading company;compass;ship;daughter;pirate;swashbuckler;aftercreditsstinger,7.0,5246
57201,The Lone Ranger,Never Take Off the Mask,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",7/3/2013,149,255000000,89289910,en,Action;Adventure;Western,texas;horse;survivor;texas ranger;partner;outlaw;escape;lawyer;train;lone ranger;comanche;the lone ranger;tonto,5.9,2311
49521,Man of Steel,You will believe that a man can fly.,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",6/12/2013,143,225000000,662845518,en,Action;Adventure;Fantasy;Science Fiction,saving the world;dc comics;superhero;based on comic book;superhuman;alien invasion;reboot;super powers;dc extended universe,6.5,6359
2454,The Chronicles of Narnia: Prince Caspian,Hope has a new face.,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",5/15/2008,150,225000000,419651413,en,Adventure;Family;Fantasy,based on novel;fictional place;brother sister relationship;lion;human being;wretch;leap in time;matter of life and death;faith;uncle;narnia;fantasy world,6.3,1630
24428,The Avengers,Some assembly required.,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",4/25/2012,143,220000000,1519557910,en,Science Fiction;Action;Adventure,new york;shield;marvel comic;superhero;based on comic book;alien invasion;superhero team;aftercreditsstinger;duringcreditsstinger;marvel cinematic universe,7.4,11776
1865,Pirates of the Caribbean: On Stranger Tides,Live Forever Or Die Trying.,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",5/14/2011,136,380000000,1045713802,en,Adventure;Action;Fantasy,sea;captain;mutiny;sword;prime minister;sailing;silver;ship;duke;mermaid;pirate;soldier;battle;swashbuckler;aftercreditsstinger;3d,6.4,4948
41154,Men in Black 3,They are back... in time.,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",5/23/2012,106,225000000,624026776,en,Action;Comedy;Science Fiction,time travel;time machine;alien;fictional government agency;seeing the future;changing history,6.2,4160
122917,The Hobbit: The Battle of the Five Armies,Witness the defining chapter of the Middle-Earth saga,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",12/10/2014,144,250000000,956019788,en,Action;Adventure;Fantasy,corruption;elves;dwarves;orcs;middle-earth (tolkien);hobbit;dragon;battle;unlikely friendship;epic battle;sword and sorcery,7.1,4760
1930,The Amazing Spider-Man,The untold story begins.,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",6/27/2012,136,215000000,752215857,en,Action;Adventure;Fantasy,loss of father;vigilante;serum;marvel comic;scientific experiment;spider bite;masked vigilante;reboot;super powers;genetic engineering;social outcast;duringcreditsstinger,6.5,6586
20662,Robin Hood,"Rise and rise again, until lambs become lions.","When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",5/12/2010,140,200000000,310669540,en,Action;Adventure,robin hood;archer;knight;sherwood forest;bow and arrow;middle ages;medieval;king of england,6.2,1398
57158,The Hobbit: The Desolation of Smaug,Beyond darkness... beyond desolation... lies the greatest danger of all.,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",12/11/2013,161,250000000,958400000,en,Adventure;Fantasy,elves;dwarves;orcs;hobbit;dragon;wizard;sword and sorcery,7.6,4524
2268,The Golden Compass,There are worlds beyond our own - the compass will show the way.,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",12/4/2007,113,180000000,372234864,en,Adventure;Fantasy,england;compass;experiment;lordship;uncle;polar bear;orphan;animal;based on young adult novel,5.8,1303
